track_name;artist(s)_name;artist_count;released_year;streams;danceability_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
Sweater Weather;The Neighbourhood;1;2012;2282771485;61;81;5;2;10;3
Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap, Quevedo;2;2022;1356565093;62;78;1;3;23;4
Viva La Vida;Coldplay;1;2008;1592909789;49;62;9;0;11;3
Here With Me;d4vd;1;2022;635412045;58;48;50;0;12;3
Unholy (feat. Kim Petras);Sam Smith, Kim Petras;2;2022;1230675890;71;47;1;0;27;9
Yandel 150;Yandel, Feid;2;2022;585695368;78;73;5;0;10;7
CORAZï¿½ï¿½N VA;Maria Becerra;1;2023;43857627;68;79;33;0;30;6
Riptide;Vance Joy;1;1975;2009094673;48;73;43;0;15;4
Until I Found You (with Em Beihold) - Em Beihold Version;Em Beihold, Stephen Sanchez;2;2022;600976848;34;57;78;0;20;3
Novidade na ï¿½ï¿;Mc Livinho, DJ Matt D;2;2023;39709092;63;34;76;0;35;9
Back To December (Taylor's Version);Taylor Swift;1;2023;39228929;50;64;1;0;12;3
STAY (with Justin Bieber);Justin Bieber, The Kid Laroi;2;2021;2665343922;59;76;4;0;10;5
El Merengue;Marshmello, Manuel Turizo;2;2023;223633238;78;68;3;1;11;4
Someone You Loved;Lewis Capaldi;1;2018;2887241814;50;41;75;0;11;3
Me Porto Bonito;Chencho Corleone, Bad Bunny;2;2022;1440757818;91;71;9;0;9;8
Makeba;Jain;1;2015;165484133;82;66;39;51;25;7
MONTAGEM - FR PUNK;Ayparia, unxbected;2;2012;58054811;63;82;70;8;9;7
Fast Car;Luke Combs;1;2023;157058870;71;60;19;0;12;3
What It Is (Solo Version);Doechii;1;2023;95131998;74;76;6;0;10;9
Coco Chanel;Bad Bunny, Eladio Carrion;2;2023;250305248;68;76;4;0;10;4
Donï¿½ï¿½ï¿½t Bl;Taylor Swift;1;2017;685032533;62;53;11;0;6;4
Still With You;Jung Kook;1;2020;38411956;53;47;9;0;83;4
All My Life (feat. J. Cole);J. Cole, Lil Durk;2;2023;144565150;83;44;15;0;10;33
Say Yes To Heaven;Lana Del Rey;1;2023;127567540;49;35;71;9;11;3
Snooze;SZA;1;2022;399686758;56;55;14;0;11;13
Summertime Sadness;Lana Del Rey;1;2011;983637508;56;66;7;0;12;3
